                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0795,                 6.6569,                0.47019,                 1.1034,                 1.3862,                0.66773,                0.57876,                0.63251,                0.35614,                0.17818,                  0.116,                0.04221,                0.00629,                 1.5686,                 6.7539,                0.30821,                 1.4269,                 1.9151,             0.00066216,             0.00066216,             0.00066216
                      2,                  1.437,                 7.3147,                0.41886,                 1.5681,                 1.6466,                 0.4961,                  0.478,                0.43837,                 0.1965,                0.13948,                  0.082,                0.02122,                0.00298,                 1.9377,                 7.1725,                0.22041,                 2.5062,                 2.4356,              0.0013132,              0.0013132,              0.0013132
                      3,                 1.5529,                 7.8171,                0.43892,                 1.7887,                 1.7531,                0.51353,                  0.534,                0.49163,                0.21671,                0.02634,                   0.02,                  0.006,                0.00119,                 1.8823,                 7.6571,                0.19892,                  2.059,                 2.1986,              0.0019485,              0.0019485,              0.0019485
                      4,                 1.4985,                 7.8081,                0.42281,                 1.7647,                 1.6908,                0.45976,                  0.358,                0.33917,                0.12603,                0.03161,                  0.024,                 0.0017,                0.00024,                 2.1225,                 7.6376,                0.12525,                 3.0853,                 2.4484,              0.0019293,              0.0019293,              0.0019293
                      5,                  1.479,                 7.6581,                0.40117,                 1.7109,                 1.6794,                0.60703,                0.53448,                0.54041,                0.24684,                0.02603,                   0.04,                0.00338,                0.00039,                 1.8502,                 7.2687,                0.10465,                 1.8463,                  2.226,              0.0019057,              0.0019057,              0.0019057
                      6,                 1.4297,                 7.6237,                0.39386,                 1.6772,                 1.6638,                0.56386,                  0.484,                0.47977,                0.22646,                0.03772,                  0.036,                 0.0037,                0.00043,                 1.7851,                 7.3972,                0.13049,                   2.04,                 2.2252,              0.0018821,              0.0018821,              0.0018821
                      7,                 1.3822,                 7.4947,                0.39664,                 1.6277,                 1.6253,                0.72082,                  0.576,                0.64211,                0.33788,                0.05458,                   0.04,                0.00463,                0.00067,                 1.5201,                 7.0523,                0.09581,                 1.5571,                 1.8247,              0.0018586,              0.0018586,              0.0018586
                      8,                 1.3594,                 7.4472,                 0.3762,                 1.5877,                 1.6101,                0.66958,                  0.584,                0.62036,                0.32296,                 0.0455,                  0.028,                0.00306,                0.00042,                   1.54,                 7.0624,                 0.1467,                 1.6199,                 1.8825,               0.001835,               0.001835,               0.001835
                      9,                 1.3344,                 7.2683,                0.36643,                 1.5239,                 1.5859,                0.69759,                  0.596,                0.65386,                0.35322,                0.16137,                  0.064,                 0.0215,                0.00299,                  1.546,                 6.8783,                0.09055,                 1.4847,                 1.8234,              0.0018114,              0.0018114,              0.0018114
                     10,                  1.308,                 7.2895,                0.36754,                 1.5027,                 1.5701,                0.67053,                0.57799,                0.62732,                0.32725,                0.06353,                  0.056,                0.00688,                0.00075,                 1.5869,                 6.8859,                0.06266,                 1.6356,                 1.8669,              0.0017879,              0.0017879,              0.0017879
